Day,hamilton merchandise
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,49
2015-09-07,0
2015-09-08,36
2015-09-09,0
2015-09-10,0
2015-09-11,37
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,34
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,46
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,46
2015-10-04,45
2015-10-05,70
2015-10-06,0
2015-10-07,35
2015-10-08,0
2015-10-09,37
2015-10-10,47
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,69
2015-10-15,0
2015-10-16,36
2015-10-17,93
2015-10-18,45
2015-10-19,35
2015-10-20,34
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,45
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,67
2015-10-29,34
2015-10-30,36
2015-10-31,0
2015-11-01,46
2015-11-02,33
2015-11-03,0
2015-11-04,34
2015-11-05,34
2015-11-06,35
2015-11-07,44
2015-11-08,0
2015-11-09,0
2015-11-10,100
2015-11-11,36
2015-11-12,35
2015-11-13,0
