Day,hamilton soundtrack
2015-08-28,0
2015-08-29,15
2015-08-30,5
2015-08-31,4
2015-09-01,7
2015-09-02,4
2015-09-03,0
2015-09-04,12
2015-09-05,5
2015-09-06,0
2015-09-07,9
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,11
2015-09-12,14
2015-09-13,9
2015-09-14,4
2015-09-15,4
2015-09-16,4
2015-09-17,7
2015-09-18,15
2015-09-19,0
2015-09-20,5
2015-09-21,43
2015-09-22,100
2015-09-23,66
2015-09-24,73
2015-09-25,64
2015-09-26,63
2015-09-27,33
2015-09-28,68
2015-09-29,28
2015-09-30,35
2015-10-01,26
2015-10-02,23
2015-10-03,24
2015-10-04,23
2015-10-05,14
2015-10-06,22
2015-10-07,39
2015-10-08,18
2015-10-09,23
2015-10-10,53
2015-10-11,14
2015-10-12,19
2015-10-13,36
2015-10-14,21
2015-10-15,18
2015-10-16,30
2015-10-17,29
2015-10-18,18
2015-10-19,43
2015-10-20,21
2015-10-21,31
2015-10-22,14
2015-10-23,19
2015-10-24,23
2015-10-25,18
2015-10-26,21
2015-10-27,21
2015-10-28,10
2015-10-29,32
2015-10-30,22
2015-10-31,24
2015-11-01,14
2015-11-02,21
2015-11-03,3
2015-11-04,24
2015-11-05,14
2015-11-06,15
2015-11-07,41
2015-11-08,41
2015-11-09,59
2015-11-10,48
2015-11-11,11
2015-11-12,51
2015-11-13,26
