Day,hamilton tour,hamilton lottery,ham4ham,hamilton musical
06-20,47,33,0,55
06-21,24,56,0,40
06-22,38,51,0,50
06-23,34,50,0,45
06-24,46,64,0,48
06-25,55,40,9,64
06-26,60,39,0,49
06-27,51,52,15,54
06-28,58,74,0,51
06-29,53,49,0,60
06-30,64,42,16,77
07-01,73,57,0,79
07-02,100,43,0,84
07-03,67,36,8,38
07-04,55,27,9,100
07-05,60,63,0,82
07-06,51,59,0,56
07-07,62,43,0,75
07-08,65,61,9,57
07-09,42,38,35,73
07-10,61,37,7,51
07-11,30,53,7,47
07-12,36,65,0,56
07-13,61,42,0,50
07-14,57,44,23,51
07-15,36,67,0,73
07-16,90,37,0,63
07-17,20,30,0,67
07-18,76,47,15,58
07-19,41,59,7,60
07-20,55,48,0,78
07-21,68,56,8,53
07-22,76,60,0,91
07-23,77,37,0,52
07-24,81,28,7,47
07-25,66,48,0,64
07-26,45,62,15,78
07-27,60,40,7,64
07-28,46,60,0,56
07-29,59,76,9,72
07-30,66,37,9,48
07-31,51,28,7,49
08-01,48,53,7,59
08-02,37,63,7,68
08-03,87,53,0,47
08-04,66,49,0,70
08-05,40,68,8,80
08-06,76,24,0,52
08-07,53,24,0,54
08-08,70,42,0,49
08-09,82,59,0,74
08-10,46,43,0,51
08-11,91,100,7,83
08-12,51,72,8,65
08-13,52,65,0,68
08-14,69,31,0,33
08-15,44,53,22,77
08-16,20,64,100,70
08-17,84,52,36,69
08-18,84,63,0,73
08-19,57,55,0,72
08-20,45,46,16,81
08-21,65,44,7,55
08-22,78,81,0,60
08-23,54,52,0,66
08-24,34,40,7,75
08-25,55,42,0,50
08-26,50,39,0,68
08-27,91,24,0,56
08-28,53,31,0,41
08-29,42,51,14,56
08-30,43,32,7,52
08-31,29,30,0,44
09-01,63,35,0,58
09-02,28,26,16,70
09-03,68,28,0,59
09-04,78,16,0,51
09-05,23,23,7,52
09-06,31,34,6,59
09-07,32,19,0,65
09-08,32,34,7,56
09-09,54,17,0,57
09-10,42,22,0,51
09-11,36,13,0,63
09-12,37,24,0,72
