Day,hamilton album,hamilton soundtrack,hamilton merchandise,hamilton musical
6/5/2020,6,2,0,1
6/6/2020,14,2,0,1
6/7/2020,18,4,0,1
6/8/2020,3,2,0,1
6/9/2020,0,2,0,1
6/10/2020,0,3,10,1
6/11/2020,6,2,10,1
6/12/2020,13,2,0,1
6/13/2020,4,4,6,2
6/14/2020,0,4,0,1
6/15/2020,0,2,0,1
6/16/2020,3,2,5,1
6/17/2020,3,3,0,2
6/18/2020,0,4,5,1
6/19/2020,7,4,5,1
6/20/2020,4,4,0,1
6/21/2020,11,2,0,1
6/22/2020,3,6,16,3
6/23/2020,0,10,22,4
6/24/2020,6,6,21,4
6/25/2020,6,6,5,3
6/26/2020,3,6,0,3
6/27/2020,11,8,6,4
6/28/2020,4,9,6,5
6/29/2020,7,5,16,6
6/30/2020,10,9,17,5
7/1/2020,0,8,11,7
7/2/2020,13,15,5,10
7/3/2020,60,62,53,53
7/4/2020,100,100,100,100
7/5/2020,60,71,20,53
7/6/2020,52,58,59,31
7/7/2020,33,47,38,21
7/8/2020,40,48,39,17
7/9/2020,23,45,33,12
7/10/2020,44,39,28,14
7/11/2020,26,51,19,16
7/12/2020,8,49,19,17
7/13/2020,13,40,22,11
7/14/2020,10,36,16,6
7/15/2020,16,28,27,8
7/16/2020,3,19,6,7
7/17/2020,7,24,23,6
7/18/2020,12,34,33,7
7/19/2020,15,30,0,10
7/20/2020,17,17,17,7
7/21/2020,10,21,6,5
7/22/2020,10,17,23,4
7/23/2020,10,25,6,5
7/24/2020,20,19,23,3
7/25/2020,8,22,19,6
7/26/2020,12,19,20,7
7/27/2020,7,17,0,4
7/28/2020,14,16,11,5
7/29/2020,17,18,17,3
7/30/2020,13,15,6,3
7/31/2020,28,16,17,5
