Day,hamilton musical,hamilton lottery,hamilton merchandise,ham4ham
07-13,44,50,77,0
07-14,20,100,76,0
07-15,17,34,0,0
07-16,20,0,78,0
07-17,36,35,81,0
07-18,68,22,0,0
07-19,47,46,0,0
07-20,41,70,0,0
07-21,32,50,0,0
07-22,24,17,76,0
07-23,18,52,0,0
07-24,29,0,0,0
07-25,6,65,0,0
07-26,19,22,0,0
07-27,25,50,0,0
07-28,17,34,0,0
07-29,22,17,0,0
07-30,25,17,0,0
07-31,28,53,0,0
08-01,16,0,0,0
08-02,19,43,0,52
08-03,28,0,0,0
08-04,10,34,0,0
08-05,37,34,0,0
08-06,48,34,0,0
08-07,100,35,0,42
08-08,60,43,0,0
08-09,48,44,100,0
08-10,42,67,0,0
08-11,31,49,0,0
08-12,30,51,0,0
08-13,43,51,0,0
08-14,38,52,0,0
08-15,59,42,0,0
08-16,41,21,0,51
08-17,29,50,0,0
08-18,36,16,75,0
08-19,22,33,0,0
08-20,32,50,0,0
08-21,22,34,0,0
08-22,34,42,0,0
08-23,25,42,0,51
08-24,17,32,74,39
08-25,43,48,0,0
08-26,23,16,0,0
08-27,31,65,0,39
08-28,22,17,0,0
08-29,31,42,0,50
08-30,40,21,0,100
08-31,18,16,0,76
09-01,12,16,0,38
09-02,23,16,0,0
